student_id,cgpa,technical_skills,soft_skills,internships,projects_done,preferred_work_environment,learning_attitude,practical_experience,career_prediction
44,3.7,"Python, SQL",Communication,No,0,Freelance,Needs Improvement,Medium,Data Scientist
45,3.8,"Python, Java, SQL",Leadership,Yes,5,Startup,Quick Learner,High,DevOps Engineer
46,3.2,"Java, SQL",Communication,No,1,MNC,Average,Medium,Web Developer
47,3.6,"Python, SQL",Problem Solving,Yes,4,Freelance,Quick Learner,Low,ML Engineer
48,3.4,Python,Communication,Yes,3,Research,Average,High,Data Scientist
49,3.0,"Java, SQL",Leadership,No,2,MNC,Needs Improvement,Medium,Web Developer
50,3.5,"Python, Java",Problem Solving,Yes,0,Startup,Quick Learner,Low,ML Engineer
51,3.9,"SQL, Python",Communication,Yes,3,Research,Average,Medium,Data Scientist
52,3.6,"Java, SQL",Leadership,No,1,Freelance,Needs Improvement,High,Web Developer
53,3.4,"Python, Java",Communication,Yes,2,MNC,Quick Learner,Medium,ML Engineer
54,3.1,"Python, SQL",Leadership,Yes,4,Startup,Average,Low,Data Scientist
55,3.5,"Java, SQL",Communication,No,0,Research,Needs Improvement,High,Web Developer
56,3.3,Python,Problem Solving,Yes,3,Freelance,Quick Learner,Medium,ML Engineer
57,3.8,"SQL, Java",Leadership,No,1,MNC,Average,Low,Data Scientist
58,3.7,"Python, SQL",Communication,Yes,2,Startup,Quick Learner,High,Web Developer
59,3.4,"Java, Python",Leadership,No,4,Research,Average,Medium,ML Engineer
60,3.0,"Python, SQL",Communication,Yes,1,Freelance,Needs Improvement,Low,Data Scientist
61,3.7,Python,Leadership,Yes,3,Startup,Quick Learner,High,DevOps Engineer
62,3.2,"Java, SQL",Communication,No,1,MNC,Average,Medium,Web Developer
63,3.8,"Python, SQL",Problem Solving,Yes,4,Research,Quick Learner,Low,ML Engineer
64,3.5,Java,Leadership,No,0,Freelance,Needs Improvement,Medium,Data Scientist
65,3.9,"Python, Java",Communication,Yes,5,Startup,Quick Learner,High,Data Scientist
66,3.1,"SQL, Python",Problem Solving,No,1,MNC,Average,Medium,Web Developer
67,3.6,"Java, Python",Leadership,Yes,2,Freelance,Quick Learner,Low,ML Engineer
68,3.4,"Python, SQL",Communication,Yes,3,Research,Average,High,Data Scientist
69,3.2,"Java, SQL",Problem Solving,No,2,MNC,Needs Improvement,Medium,Web Developer
70,3.8,"Python, Java, SQL",Leadership,Yes,0,Startup,Quick Learner,Low,ML Engineer
71,3.7,"SQL, Python",Communication,Yes,3,Research,Average,Medium,Data Scientist
72,3.6,"Java, SQL",Leadership,No,1,Freelance,Needs Improvement,High,Web Developer
73,3.4,"Python, Java",Communication,Yes,2,MNC,Quick Learner,Medium,ML Engineer
74,3.1,"Python, SQL",Leadership,Yes,4,Startup,Average,Low,Data Scientist
75,3.5,"Java, SQL",Communication,No,0,Research,Needs Improvement,High,Web Developer
76,3.3,Python,Problem Solving,Yes,3,Freelance,Quick Learner,Medium,ML Engineer
77,3.8,"SQL, Java",Leadership,No,1,MNC,Average,Low,Data Scientist
78,3.7,"Python, SQL",Communication,Yes,2,Startup,Quick Learner,High,Web Developer
79,3.4,"Java, Python",Leadership,No,4,Research,Average,Medium,ML Engineer
80,3.0,"Python, SQL",Communication,Yes,1,Freelance,Needs Improvement,Low,Data Scientist
81,3.9,"Python, Java",Communication,Yes,3,Startup,Quick Learner,Medium,Data Scientist
82,3.5,"SQL, Python",Leadership,No,1,MNC,Average,High,Web Developer
83,3.1,"Java, Python",Problem Solving,Yes,2,Research,Quick Learner,Low,ML Engineer
84,3.7,"Python, SQL",Communication,No,0,Freelance,Needs Improvement,Medium,Data Scientist
85,3.8,"Python, Java, SQL",Leadership,Yes,5,Startup,Quick Learner,High,DevOps Engineer
86,3.2,"Java, SQL",Communication,No,1,MNC,Average,Medium,Web Developer
87,3.6,"Python, SQL",Problem Solving,Yes,4,Freelance,Quick Learner,Low,ML Engineer
88,3.4,Python,Communication,Yes,3,Research,Average,High,Data Scientist
89,3.0,"Java, SQL",Leadership,No,2,MNC,Needs Improvement,Medium,Web Developer
90,3.5,"Python, Java",Problem Solving,Yes,0,Startup,Quick Learner,Low,ML Engineer
91,3.9,"SQL, Python",Communication,Yes,3,Research,Average,Medium,Data Scientist
92,3.6,"Java, SQL",Leadership,No,1,Freelance,Needs Improvement,High,Web Developer
93,3.4,"Python, Java",Communication,Yes,2,MNC,Quick Learner,Medium,ML Engineer
94,3.1,"Python, SQL",Leadership,Yes,4,Startup,Average,Low,Data Scientist
95,3.5,"Java, SQL",Communication,No,0,Research,Needs Improvement,High,Web Developer
96,3.3,Python,Problem Solving,Yes,3,Freelance,Quick Learner,Medium,ML Engineer
97,3.8,"SQL, Java",Leadership,No,1,MNC,Average,Low,Data Scientist
98,3.7,"Python, SQL",Communication,Yes,2,Startup,Quick Learner,High,Web Developer
99,3.4,"Java, Python",Leadership,No,4,Research,Average,Medium,ML Engineer
100,3.0,"Python, SQL",Communication,Yes,1,Freelance,Needs Improvement,Low,Data Scientist
101,3.8,Python,Communication,Yes,3,Startup,Quick Learner,Medium,Data Scientist
102,3.6,"SQL, Python",Leadership,No,1,MNC,Average,High,Web Developer
103,3.2,"Java, Python",Problem Solving,Yes,2,Research,Quick Learner,Low,ML Engineer
104,3.5,"Python, SQL",Communication,No,0,Freelance,Needs Improvement,Medium,Data Scientist
105,3.9,"Python, Java, SQL",Leadership,Yes,5,Startup,Quick Learner,High,Data Scientist
106,3.1,"Java, SQL",Communication,No,1,MNC,Average,Medium,Web Developer
107,3.4,"Python, SQL",Problem Solving,Yes,4,Freelance,Quick Learner,Low,ML Engineer
108,3.7,Python,Communication,Yes,3,Research,Average,High,Data Scientist
109,3.3,"Java, SQL",Leadership,No,2,MNC,Needs Improvement,Medium,Web Developer
110,3.2,"Python, Java",Problem Solving,Yes,0,Startup,Quick Learner,Low,ML Engineer
111,3.9,"SQL, Python",Communication,Yes,3,Research,Average,Medium,Data Scientist
112,3.6,"Java, SQL",Leadership,No,1,Freelance,Needs Improvement,High,Web Developer
113,3.4,"Python, Java",Communication,Yes,2,MNC,Quick Learner,Medium,ML Engineer
114,3.1,"Python, SQL",Leadership,Yes,4,Startup,Average,Low,Data Scientist
115,3.5,"Java, SQL",Communication,No,0,Research,Needs Improvement,High,Web Developer
116,3.3,Python,Problem Solving,Yes,3,Freelance,Quick Learner,Medium,ML Engineer
117,3.8,"SQL, Java",Leadership,No,1,MNC,Average,Low,Data Scientist
118,3.7,"Python, SQL",Communication,Yes,2,Startup,Quick Learner,High,Web Developer
119,3.4,"Java, Python",Leadership,No,4,Research,Average,Medium,ML Engineer
120,3.0,"Python, SQL",Communication,Yes,1,Freelance,Needs Improvement,Low,Data Scientist
121,3.7,Python,Leadership,Yes,3,Startup,Quick Learner,High,DevOps Engineer
122,3.2,"Java, SQL",Communication,No,1,MNC,Average,Medium,Web Developer
123,3.8,"Python, SQL",Problem Solving,Yes,4,Research,Quick Learner,Low,ML Engineer
124,3.5,Java,Leadership,No,0,Freelance,Needs Improvement,Medium,Data Scientist
125,3.9,"Python, Java",Communication,Yes,5,Startup,Quick Learner,High,Data Scientist
126,3.1,"SQL, Python",Problem Solving,No,1,MNC,Average,Medium,Web Developer
127,3.6,"Java, Python",Leadership,Yes,2,Freelance,Quick Learner,Low,ML Engineer
128,3.4,"Python, SQL",Communication,Yes,3,Research,Average,High,Data Scientist
129,3.2,"Java, SQL",Problem Solving,No,2,MNC,Needs Improvement,Medium,Web Developer
130,3.8,"Python, Java, SQL",Leadership,Yes,0,Startup,Quick Learner,Low,ML Engineer
131,3.7,"SQL, Python",Communication,Yes,3,Research,Average,Medium,Data Scientist
132,3.6,"Java, SQL",Leadership,No,1,Freelance,Needs Improvement,High,Web Developer
133,3.4,"Python, Java",Communication,Yes,2,MNC,Quick Learner,Medium,ML Engineer
134,3.1,"Python, SQL",Leadership,Yes,4,Startup,Average,Low,Data Scientist
135,3.5,"Java, SQL",Communication,No,0,Research,Needs Improvement,High,Web Developer
136,3.3,Python,Problem Solving,Yes,3,Freelance,Quick Learner,Medium,ML Engineer
137,3.8,"SQL, Java",Leadership,No,1,MNC,Average,Low,Data Scientist
138,3.7,"Python, SQL",Communication,Yes,2,Startup,Quick Learner,High,Web Developer
139,3.4,"Java, Python",Leadership,No,4,Research,Average,Medium,ML Engineer
140,3.0,"Python, SQL",Communication,Yes,1,Freelance,Needs Improvement,Low,Data Scientist
141,3.9,"Python, Java",Communication,Yes,3,Startup,Quick Learner,Medium,Data Scientist
142,3.5,"SQL, Python",Leadership,No,1,MNC,Average,High,Web Developer
143,3.1,"Java, Python",Problem Solving,Yes,2,Research,Quick Learner,Low,ML Engineer
144,3.7,"Python, SQL",Communication,No,0,Freelance,Needs Improvement,Medium,Data Scientist
145,3.8,"Python, Java, SQL",Leadership,Yes,5,Startup,Quick Learner,High,DevOps Engineer
146,3.2,"Java, SQL",Communication,No,1,MNC,Average,Medium,Web Developer
147,3.6,"Python, SQL",Problem Solving,Yes,4,Freelance,Quick Learner,Low,ML Engineer
148,3.4,Python,Communication,Yes,3,Research,Average,High,Data Scientist
149,3.0,"Java, SQL",Leadership,No,2,MNC,Needs Improvement,Medium,Web Developer
150,3.5,"Python, Java",Problem Solving,Yes,0,Startup,Quick Learner,Low,ML Engineer
151,3.9,"SQL, Python",Communication,Yes,3,Research,Average,Medium,Data Scientist
152,3.6,"Java, SQL",Leadership,No,1,Freelance,Needs Improvement,High,Web Developer
153,3.4,"Python, Java",Communication,Yes,2,MNC,Quick Learner,Medium,ML Engineer
154,3.1,"Python, SQL",Leadership,Yes,4,Startup,Average,Low,Data Scientist
155,3.5,"Java, SQL",Communication,No,0,Research,Needs Improvement,High,Web Developer
156,3.3,Python,Problem Solving,Yes,3,Freelance,Quick Learner,Medium,ML Engineer
157,3.8,"SQL, Java",Leadership,No,1,MNC,Average,Low,Data Scientist
158,3.7,"Python, SQL",Communication,Yes,2,Startup,Quick Learner,High,Web Developer
159,3.4,"Java, Python",Leadership,No,4,Research,Average,Medium,ML Engineer
160,3.0,"Python, SQL",Communication,Yes,1,Freelance,Needs Improvement,Low,Data Scientist
161,3.7,Python,Leadership,Yes,3,Startup,Quick Learner,High,DevOps Engineer
162,3.2,"Java, SQL",Communication,No,1,MNC,Average,Medium,Web Developer
163,3.8,"Python, SQL",Problem Solving,Yes,4,Research,Quick Learner,Low,ML Engineer
164,3.5,Java,Leadership,No,0,Freelance,Needs Improvement,Medium,Data Scientist
165,3.9,"Python, Java",Communication,Yes,5,Startup,Quick Learner,High,Data Scientist
166,3.1,"SQL, Python",Problem Solving,No,1,MNC,Average,Medium,Web Developer
167,3.6,"Java, Python",Leadership,Yes,2,Freelance,Quick Learner,Low,ML Engineer
168,3.4,"Python, SQL",Communication,Yes,3,Research,Average,High,Data Scientist
169,3.2,"Java, SQL",Problem Solving,No,2,MNC,Needs Improvement,Medium,Web Developer
170,3.8,"Python, Java, SQL",Leadership,Yes,0,Startup,Quick Learner,Low,ML Engineer
171,3.7,"SQL, Python",Communication,Yes,3,Research,Average,Medium,Data Scientist
172,3.6,"Java, SQL",Leadership,No,1,Freelance,Needs Improvement,High,Web Developer
173,3.4,"Python, Java",Communication,Yes,2,MNC,Quick Learner,Medium,ML Engineer
174,3.1,"Python, SQL",Leadership,Yes,4,Startup,Average,Low,Data Scientist
175,3.5,"Java, SQL",Communication,No,0,Research,Needs Improvement,High,Web Developer
176,3.3,Python,Problem Solving,Yes,3,Freelance,Quick Learner,Medium,ML Engineer
177,3.8,"SQL, Java",Leadership,No,1,MNC,Average,Low,Data Scientist
178,3.7,"Python, SQL",Communication,Yes,2,Startup,Quick Learner,High,Web Developer
179,3.4,"Java, Python",Leadership,No,4,Research,Average,Medium,ML Engineer
180,3.0,"Python, SQL",Communication,Yes,1,Freelance,Needs Improvement,Low,Data Scientist
181,3.9,"Python, Java",Communication,Yes,3,Startup,Quick Learner,Medium,Data Scientist
182,3.5,"SQL, Python",Leadership,No,1,MNC,Average,High,Web Developer
183,3.1,"Java, Python",Problem Solving,Yes,2,Research,Quick Learner,Low,ML Engineer
184,3.7,"Python, SQL",Communication,No,0,Freelance,Needs Improvement,Medium,Data Scientist
185,3.8,"Python, Java, SQL",Leadership,Yes,5,Startup,Quick Learner,High,DevOps Engineer
186,3.2,"Java, SQL",Communication,No,1,MNC,Average,Medium,Web Developer
187,3.6,"Python, SQL",Problem Solving,Yes,4,Freelance,Quick Learner,Low,ML Engineer
188,3.4,Python,Communication,Yes,3,Research,Average,High,Data Scientist
189,3.0,"Java, SQL",Leadership,No,2,MNC,Needs Improvement,Medium,Web Developer
190,3.5,"Python, Java",Problem Solving,Yes,0,Startup,Quick Learner,Low,ML Engineer
191,3.9,"SQL, Python",Communication,Yes,3,Research,Average,Medium,Data Scientist
192,3.6,"Java, SQL",Leadership,No,1,Freelance,Needs Improvement,High,Web Developer
193,3.4,"Python, Java",Communication,Yes,2,MNC,Quick Learner,Medium,ML Engineer
194,3.1,"Python, SQL",Leadership,Yes,4,Startup,Average,Low,Data Scientist
195,3.5,"Java, SQL",Communication,No,0,Research,Needs Improvement,High,Web Developer
196,3.3,Python,Problem Solving,Yes,3,Freelance,Quick Learner,Medium,ML Engineer
197,3.8,"SQL, Java",Leadership,No,1,MNC,Average,Low,Data Scientist
198,3.7,"Python, SQL",Communication,Yes,2,Startup,Quick Learner,High,Web Developer
199,3.4,"Java, Python",Leadership,No,4,Research,Average,Medium,ML Engineer
200,3.0,"Python, SQL",Communication,Yes,1,Freelance,Needs Improvement,Low,Data Scientist
201,3.6,"Python, Flask, HTML",Communication,Yes,3,Startup,Quick Learner,Medium,Full Stack Developer
202,3.4,"JavaScript, React, Node.js",Problem Solving,No,2,MNC,Average,High,Frontend Developer
203,3.7,"Python, TensorFlow, Keras",Leadership,Yes,4,Research,Quick Learner,Low,Computer Vision Engineer
204,3.5,"AWS, Docker, Jenkins",Leadership,Yes,3,Startup,Quick Learner,High,Cloud Solutions Architect
205,3.3,"Java, Spring, SQL",Communication,No,1,Freelance,Needs Improvement,Medium,Backend Developer
206,3.9,"Python, Pandas, Matplotlib",Problem Solving,Yes,5,Research,Quick Learner,Medium,Business Intelligence Analyst
207,3.2,"HTML, CSS, JavaScript",Leadership,No,2,MNC,Average,High,Web Designer
208,3.6,"Python, SQL, Spark",Communication,Yes,4,Freelance,Quick Learner,Low,Data Engineer
209,3.1,"C++, Embedded Systems",Problem Solving,Yes,1,Research,Quick Learner,Medium,Embedded Systems Engineer
210,3.8,"Python, R, Statistics",Communication,Yes,3,Startup,Average,High,Research Statistician
211,3.4,"React, Figma, UX",Leadership,No,3,Startup,Quick Learner,Medium,UX/UI Designer
212,3.5,"SQL, Excel, Power BI",Communication,Yes,2,MNC,Needs Improvement,High,BI Developer
213,3.7,"Git, CI/CD, Kubernetes",Problem Solving,Yes,4,Startup,Quick Learner,High,Site Reliability Engineer
214,3.0,"Python, Django",Communication,No,1,Freelance,Average,Medium,Web Application Developer
215,3.9,"Python, NLP, Transformers",Leadership,Yes,5,Research,Quick Learner,Low,NLP Engineer
216,3.3,"Java, Android SDK",Problem Solving,No,2,MNC,Average,Medium,Android Developer
217,3.6,"Swift, iOS",Communication,No,1,Freelance,Needs Improvement,High,iOS Developer
218,3.4,"Python, ML, Flask",Leadership,Yes,3,Startup,Quick Learner,Medium,MLOps Engineer
219,3.2,"Network Security, Wireshark",Problem Solving,Yes,2,Research,Quick Learner,Low,Penetration Tester
220,3.8,"Python, Bioinformatics",Communication,Yes,4,Research,Quick Learner,High,Bioinformatics Scientist
221,3.5,"Tableau, SQL, Excel",Leadership,Yes,3,MNC,Average,Medium,Data Visualization Specialist
222,3.1,"C#, Unity",Problem Solving,No,1,Startup,Needs Improvement,High,Game Developer
223,3.7,"Python, Robotics, ROS",Leadership,Yes,4,Research,Quick Learner,Low,Robotics Engineer
224,3.4,"IoT, Arduino, MQTT",Communication,Yes,2,Freelance,Average,Medium,IoT Solutions Developer
225,3.6,"Figma, User Testing",Leadership,Yes,3,Startup,Quick Learner,High,UX Researcher
226,3.3,"Finance, Python, Excel",Problem Solving,No,1,MNC,Needs Improvement,Medium,Quantitative Analyst
227,3.9,"Blockchain, Solidity",Communication,Yes,5,Startup,Quick Learner,High,Blockchain Developer
228,3.2,"Salesforce, CRM",Leadership,No,2,Freelance,Average,High,Sales Engineer
229,3.5,"Cybersecurity, Firewall",Problem Solving,Yes,3,Research,Quick Learner,Medium,Security Analyst
230,3.7,"Project Management, Agile",Communication,Yes,4,MNC,Quick Learner,High,IT Project Manager
231,3.4,"Python, Geospatial, QGIS",Problem Solving,Yes,3,Research,Average,Medium,Geospatial Analyst
232,3.1,"HTML, WordPress",Communication,No,1,Freelance,Needs Improvement,High,Web Content Manager
233,3.8,"AI, Ethics, Policy",Leadership,Yes,5,Research,Quick Learner,Low,AI Ethics Consultant
234,3.6,"React Native, Expo",Problem Solving,Yes,3,Startup,Quick Learner,Medium,Cross-Platform Developer
235,3.0,"Technical Writing, API Docs",Communication,No,1,Freelance,Average,High,Technical Writer
236,3.9,"Machine Learning, Physics",Leadership,Yes,6,Research,Quick Learner,High,Computational Scientist
237,3.3,"Marketing, Python, SQL",Problem Solving,No,2,MNC,Needs Improvement,Medium,Marketing Data Analyst
238,3.5,"DevOps, Ansible, Terraform",Leadership,Yes,3,Startup,Quick Learner,High,Infrastructure Engineer
239,3.2,"Customer Success, CRM",Communication,Yes,2,Freelance,Average,Medium,Customer Success Engineer
240,3.7,"Python, Finance, Risk",Problem Solving,Yes,4,MNC,Quick Learner,High,Risk Analyst
241,3.4,"EdTech, LMS, UX",Leadership,Yes,3,Startup,Quick Learner,Medium,EdTech Product Designer
242,3.1,"Fraud Detection, SQL",Problem Solving,No,1,MNC,Needs Improvement,High,Fraud Analyst
243,3.8,"AI, Prompt Engineering",Communication,Yes,4,Startup,Quick Learner,Low,Prompt Engineer
244,3.6,"Web3, Ethereum, IPFS",Leadership,Yes,3,Startup,Quick Learner,High,Web3 Developer
245,3.3,"VR, Unity, C#",Problem Solving,Yes,2,Research,Average,Medium,AR/VR Developer
246,3.5,"Supply Chain, Python",Communication,Yes,3,MNC,Quick Learner,High,Supply Chain Data Analyst
247,3.2,"Legal, AI, Compliance",Problem Solving,No,1,Freelance,Needs Improvement,Medium,AI Policy Analyst
248,3.9,"Quantum Computing, Python",Leadership,Yes,5,Research,Quick Learner,Low,Quantum Software Engineer
249,3.4,"Healthcare, Data",Communication,Yes,3,Hospital,Quick Learner,Medium,Health Informatics Analyst
250,3.7,"Digital Transformation, Cloud",Leadership,Yes,4,MNC,Quick Learner,High,Digital Transformation Consultant
251,3.1,"Social Media, Analytics",Problem Solving,No,1,Freelance,Average,High,Digital Marketing Analyst
252,3.6,"APIs, REST, GraphQL",Communication,Yes,3,Startup,Quick Learner,Medium,API Developer
253,3.3,"Psychology, UX",Leadership,Yes,2,Research,Needs Improvement,Low,Human-Computer Interaction Specialist
254,3.5,"Energy, Data, Python",Problem Solving,Yes,3,MNC,Quick Learner,High,Energy Data Analyst
255,3.2,"Economics, R, Stata",Communication,No,2,Research,Average,Medium,Econometrician
256,3.8,"Computer Vision, OpenCV",Leadership,Yes,4,Research,Quick Learner,Low,Image Processing Engineer
257,3.4,"Music, Programming",Problem Solving,Yes,3,Startup,Quick Learner,Medium,Sound Programmer
258,3.1,"Education, Coding",Communication,No,1,Freelance,Needs Improvement,High,Code Instructor
259,3.7,"Autonomous Systems, AI",Leadership,Yes,4,Research,Quick Learner,High,Autonomous Vehicle Engineer
260,3.5,"Climate, Python, GIS",Problem Solving,Yes,3,Research,Quick Learner,Medium,Climate Data Scientist
261,3.3,"Retail, Analytics",Communication,No,2,MNC,Average,High,Retail Data Analyst
262,3.9,"AI, Art, Generative Models",Leadership,Yes,5,Startup,Quick Learner,Low,Generative AI Artist
263,3.2,"HR, Data, Excel",Problem Solving,No,1,Freelance,Needs Improvement,Medium,HR Analytics Specialist
264,3.6,"LegalTech, NLP",Communication,Yes,3,Startup,Quick Learner,High,Legal Technology Analyst
265,3.4,"Agriculture, Data",Leadership,Yes,2,Research,Average,Low,Agricultural Data Analyst
266,3.1,"Customer Support, Tech",Problem Solving,No,1,Freelance,Quick Learner,High,Tech Support Engineer
267,3.8,"Neuroscience, Python",Leadership,Yes,4,Research,Quick Learner,Low,Computational Neuroscientist
268,3.5,"Space, Data, Python",Communication,Yes,3,Research,Quick Learner,High,Astrophysics Data Analyst
269,3.3,"Fashion, Tech",Problem Solving,No,2,Startup,Average,Medium,Fashion Tech Developer
270,3.7,"Cybersecurity, AI",Leadership,Yes,4,MNC,Quick Learner,Low,AI Security Specialist
271,3.4,"Journalism, Data",Communication,Yes,3,Media,Quick Learner,High,Data Journalist
272,3.1,"Translation, NLP",Problem Solving,No,1,Freelance,Needs Improvement,Medium,NLP Localization Engineer
273,3.9,"Robotics, AI, Ethics",Leadership,Yes,5,Research,Quick Learner,Low,Robot Ethics Consultant
274,3.6,"EdTech, AI, Tutoring",Problem Solving,Yes,3,Startup,Quick Learner,High,Intelligent Tutoring Systems Developer
275,3.3,"Sports, Analytics",Communication,No,2,MNC,Average,Medium,Sports Data Analyst
276,3.5,"Defense, Cybersecurity",Leadership,Yes,3,Research,Quick Learner,High,Military Cybersecurity Analyst
277,3.2,"Music, AI, ML",Problem Solving,Yes,2,Startup,Needs Improvement,Low,Music AI Researcher
278,3.8,"Autonomous Drones, Python",Leadership,Yes,4,Research,Quick Learner,High,Drone Software Engineer
279,3.4,"Logistics, Optimization",Communication,Yes,3,MNC,Quick Learner,Medium,Logistics Optimization Analyst
280,3.1,"Public Policy, Data",Problem Solving,No,1,NGO,Average,High,Policy Data Analyst
281,3.7,"Metaverse, Unity, Web3",Leadership,Yes,4,Startup,Quick Learner,Low,Metaverse Experience Designer
282,3.5,"Biotech, Data",Communication,Yes,3,Research,Quick Learner,High,Biotech Data Scientist
283,3.3,"Gaming, AI, NPCs",Problem Solving,No,2,Startup,Average,Medium,Game AI Developer
284,3.9,"AI, Philosophy, Ethics",Leadership,Yes,5,Research,Quick Learner,Low,Philosophy of AI Researcher
285,3.2,"Insurance, Data",Communication,No,1,MNC,Needs Improvement,Medium,Insurance Data Analyst
286,3.6,"Voice, NLP, Alexa",Leadership,Yes,3,Startup,Quick Learner,High,Voice Interaction Designer
287,3.4,"Oceanography, Python",Problem Solving,Yes,3,Research,Average,Low,Marine Data Scientist
288,3.1,"Nonprofit, Data",Communication,No,1,NGO,Quick Learner,High,Nonprofit Data Strategist
289,3.8,"Satellite, Remote Sensing",Leadership,Yes,4,Research,Quick Learner,Medium,Remote Sensing Analyst
290,3.5,"EdTech, Gamification",Problem Solving,Yes,3,Startup,Quick Learner,High,EdTech Gamification Designer
291,3.3,"Retail, AI, Personalization",Communication,No,2,MNC,Average,Medium,E-commerce Personalization Engineer
292,3.7,"AI, Healthcare, Diagnostics",Leadership,Yes,4,Research,Quick Learner,Low,Medical AI Specialist
293,3.4,"Climate, AI, Modeling",Problem Solving,Yes,3,Research,Quick Learner,High,Climate AI Modeler
294,3.1,"Social Impact, Tech",Communication,No,1,NGO,Needs Improvement,Medium,Tech for Good Developer
295,3.9,"AI, Creativity, Art",Leadership,Yes,5,Startup,Quick Learner,Low,AI Creative Director
296,3.6,"Finance, Blockchain, DeFi",Problem Solving,Yes,3,Startup,Quick Learner,High,DeFi Developer
297,3.3,"Psychology, AI, Chatbots",Leadership,Yes,2,Research,Average,Medium,Conversational AI Psychologist
298,3.5,"Energy, AI, Grid",Communication,Yes,3,MNC,Quick Learner,Low,Smart Grid Data Analyst
299,3.2,"Space, Robotics",Problem Solving,No,2,Research,Needs Improvement,High,Space Robotics Engineer
300,3.8,"AI, Law, Contracts",Leadership,Yes,4,Legal,Quick Learner,Low,Legal AI Analyst
301,3.4,"Education, AI, Accessibility",Communication,Yes,3,Startup,Quick Learner,High,Accessible Learning Technologist
